MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NCR COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
BASIC NECESSITIES (BN),,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,"SPECIFICATION
(size, unit, weight, height, etc.)","SRP
01 FEB 2025 (ADJUSTED)","MONITORED PREVAILING PRICE, NCR",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,2025-11-01,OCTOBER,% CHANGE,PHP DIFF.,2025-11-01,2025-08-01,% CHANGE,PHP DIFF.
Bread - Loaf,MARBY  JOHN Pullman Loaf Bread ,Marby  ,400g,NO SRP,,,,,,,,
Bread - Loaf,MARBY  JOHN Pullman Loaf Bread ,Marby  ,600g,NO SRP,,,,,,,,
Bread - Loaf,MARBY JOHN Pullman Special Pinoy Loaf,Marby ,450g,NO SRP,57,57,0.00%,0,57,57,0.00%,0
Bread - Loaf,MARBY Loaf Bread,Marby,220g,NO SRP,,,,,,,,
Bread - Loaf,MARBY Super Loaf,Marby,600g,NO SRP,82,82,0.00%,0,82,82,0.00%,0
Bread - Loaf,MELLE'S Loaf Bread,Melle's,550g,NO SRP,75,75,0.00%,0,75,75,0.00%,0
Bread - Loaf,MLM Pullman Loaf Bread,MLM Pullman ,600g,NO SRP,,,,,,,,
Bread - Loaf,MONDE Fluffy Bread,Monde,600g,NO SRP,85,85,0.00%,0,85,85,0.00%,0
Bread - Loaf,NEU BAKE White Bread,Neu Bake,450g,NO SRP,54,54,0.00%,0,54,54,0.00%,0
Bread - Loaf,OLSEN'S Loaf Bread,Olsen's,400g,NO SRP,,,,,,,,
Bread - Loaf,OLSEN'S Loaf Bread,Olsen's,450g,NO SRP,,,,,,,,
Bread - Loaf,PINOY Tasty,Pinoy ,450g,44,44,44,0.00%,0,44,44,0.00%,0
Bread - Loaf,REAL GOOD Loaf Bread,Real Good,450g,NO SRP,,,,,,,,
Bread - Loaf,SM BONUS White Bread,SM Bonus,450g,NO SRP,46,46,0.00%,0,46,46,0.00%,0
Bread - Loaf,TIFFANY'S Pan American,Tiffany's,600g,NO SRP,66,66,0.00%,0,66,,,
Bread - Loaf,TIFFANY'S Sandwich Loaf,Tiffany's,620g,NO SRP,66,66,0.00%,0,66,66,0.00%,0
Bread - Loaf,TIFFANY'S Super Loaf,Tiffany's,720g,NO SRP,79,79,0.00%,0,79,79,0.00%,0
Bread - Loaf,UNCLE GEORGE Sandwich Pullman Loaf,Uncle George,550g,NO SRP,,,,,,,,
Bread - Loaf,WALTER Loaf Bread,Walter,580g,NO SRP,,,,,,,,
Bread - Pandesal,COCO Pinoy Pandesal (10pcs/pack),Coco Pinoy,250g,NO SRP,,,,,,23.5,,
Bread - Pandesal,GARDENIA Soft Delight Pandesal (10pcs./pack),Gardenia,300g,NO SRP,54,54,0.00%,0,54,54,0.00%,0
Bread - Pandesal,GARDENIA Premium Pandesal (8pcs/pack),Gardenia,225g,NO SRP,,,,,,,,
Bread - Pandesal,LOCAL/COMMUNITY BAKERS - PANDESAL (piece),Local Pandesal,10g,NO SRP,,,,,,,,
Bread - Pandesal,LOCAL/COMMUNITY BAKERS - PANDESAL (piece),Local Pandesal,15g,NO SRP,,,,,,,,
Bread - Pandesal,LOCAL/COMMUNITY BAKERS - PANDESAL (piece),Local Pandesal,20g,NO SRP,,,,,,,,
Bread - Pandesal,LOCAL/COMMUNITY BAKERS - PANDESAL (piece),Local Pandesal,25g,NO SRP,,,,,,,,
Bread - Pandesal,MARBY Pandesal (10pcs./pack),Marby,250g,NO SRP,,,,,,,,
Bread - Pandesal,MARBY Pandesal (10pcs./pack),Marby,400g,NO SRP,,,,,,,,
Bread - Pandesal,PINOY Pandesal (10pcs./pack),Pinoy ,250g,27.75,27.25,27.25,0.00%,0,27.25,27.25,0.00%,0
