MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NCR COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
CONSTRUCTION MATERIALS ,,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,UNIT,SIZE,"MONITORED PREVAILING PRICE, NCR",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
Bulb - Incandescent Lamp,FOCUS Incandescent Lamp 50W,Focus,,50 Watts,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO (Gauge 24) 8 feet,Apo,,(Gauge 24) 8 feet,880,680,29.41%,200,880,,,
"GI Sheet, Roofing - Corrugated",APO (Gauge 24) 10 feet,Apo,,(Gauge 24) 10 feet,1100,900,22.22%,200,1100,,,
"GI Sheet, Roofing  Corrugated",APO (Gauge 24) 12 feet,Apo,,(Gauge 24) 12 feet,1320,1020,29.41%,300,1320,,,
"GI Sheet, Roofing  Corrugated",Century (Gauge 22) 8 feet,Century,,(Gauge 22) 8 feet,,,,,,,,
"GI Sheet, Roofing  Corrugated",Century (Gauge 22) 10 feet,Century,,(Gauge 22) 10 feet,,,,,,,,
"GI Sheet, Roofing  Corrugated",Century (Gauge 22) 12 feet,Century,,(Gauge 22)12 feet,,,,,,,,
Nail - Finishing Nails - 50mm,APPLE Finishing Nails,Apple,,"50mm (2"")",,,,,,,,
Nail - Finishing Nails - 50mm,APPLE Finishing Nails,Apple,,"75mm (3"")",,,,,,,,
Fuse,EAGLE Fuse,Eagle,,30 ampere,35,40,-12.50%,-5,35,,,
Fuse,EAGLE Fuse,Eagle,,60 ampere,120,75,60.00%,45,120,,,
Fuse,KOPEZ Fuse,Kopez,,30 ampere,,,,,,,,
