MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NCR COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
CONSTRUCTION MATERIALS ,,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,UNIT,SIZE,"MONITORED PREVAILING PRICE, NCR",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.5 mm (Gauge 26) 6 ft.,Apo,feet,0.5 mm (Gauge 26) 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.5 mm (Gauge 26) 8 ft.,Apo,feet,0.5 mm (Gauge 26) 8 feet,600,720,-16.67%,-120,600,,,
"GI Sheet, Roofing - Corrugated",APO GI Sheet - 0.5mm,Apo,milli meter,0.55mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",APO Lume GI Sheet - 0.4mm per foot,Apo Lume,feet,0.4mm per feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",CHERRYLUME GI Sheet - 0.31 Mm (Gauge 30) 10 Ft.,Cherrylume,feet,0.31mm 10 feet,450,,,,450,,,
"GI Sheet, Roofing - Corrugated",CHERRYLUME GI Sheet - 0.31 mm (Gauge 30) 6 ft.,Cherrylume,feet,0.31mm 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",CHERRYLUME GI Sheet - 0.31 mm (Gauge 30) 8 ft.,Cherrylume,feet,0.31mm 8 feet,360,,,,360,,,
"GI Sheet, Roofing - Corrugated",CHERRYLUME GI Sheet - 0.35mm per foot,Cherrylume,feet,0.35mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",CHERRYLUME GI Sheet - 0.4 mm (Gauge 28) 10 ft.,Cherrylume,feet,0.4mm 10 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",CHERRYLUME GI Sheet - 0.4 mm (Gauge 28) 6 ft.,Cherrylume,feet,0.4mm 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",CHERRYLUME GI Sheet - 0.4 mm (Gauge 28) 8 ft.,Cherrylume,feet,0.4mm 8 feet,376,,,,376,,,
"GI Sheet, Roofing - Corrugated",CHERRYLUME GI Sheet - 0.5 mm (Gauge 26) 10 ft.,Cherrylume,feet,0.5mm 10 feet,550,550,0.00%,0,550,,,
"GI Sheet, Roofing - Corrugated",CHERRYLUME GI Sheet - 0.5 mm (Gauge 26) 6 ft.,Cherrylume,feet,0.5mm 6 feet,,,,,,,,
"GI Sheet, Roofing - Corrugated",CHERRYLUME GI Sheet - 0.5 mm (Gauge 26) 8 ft.,Cherrylume,feet,0.5mm 8 feet,440,450,-2.22%,-10,440,,,
"GI Sheet, Roofing - Corrugated",CHERY LUME GI Sheet - 0.2 mm per foot,Chery Lume,feet,0.2mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",CHERY LUME GI Sheet - 0.4mm per foot,Chery Lume,feet,0.4mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVABOND GI Sheet - 0.2mm Z215 6 ft.,Galvabond,feet,0.2mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVABOND GI Sheet - 0.2mm Z215 8 ft.,Galvabond,feet,0.2mm Z215 8 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVABOND GI Sheet - 0.4mm Z215 6 ft.,Galvabond,feet,0.4mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVABOND GI Sheet - 0.4mm Z215 8ft.,Galvabond,feet,0.4mm Z215 8ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",GALVALUME Corrugated GI Sheet - 0.4mm Z215 (Gauge 26) 8 ft.,Galvalume,feet,0.4mm Z215 8ft,,,,,,,,
