MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NATIONWIDE COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
PRIME COMMODITIES (PC),,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,"SPECIFICATION
(size, unit, weight, height, etc.)","SRP
01 FEB 2025 (ADJUSTED)","MONITORED PREVAILING PRICE, NATIONWIDE",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
Battery,DURACELL AAA,DURACELL,2pcs/pack,NO SRP,,,,,,,,
Canned Pork - Meat Loaf,ARGENTINA Meat Loaf ,Argentina,170g,25.25,23.5,23.5,0.00%,0,23.5,23.5,0.00%,0
Canned Pork - Meat Loaf,ARGENTINA Meat Loaf ,Argentina,250g,NO SRP,33.4,33.4,0.00%,0,33.4,33.4,0.00%,0
Canned Pork - Meat Loaf,BINGO Meat Loaf ,Bingo,150g,NO SRP,20.25,20.25,0.00%,0,20.25,21.25,-4.71%,-1
Canned Pork - Meat Loaf,CDO Classic Meat Loaf,CDO,150g,21.75,21.75,21.75,0.00%,0,21.75,21.75,0.00%,0
Canned Pork - Meat Loaf,LIBERTY Brand Meat Loaf ,Liberty ,200g,NO SRP,,,,,,,,
Canned Pork - Meat Loaf,LIGO Meat Loaf ,Ligo,150g,NO SRP,,,,,,,,
Canned Pork - Meat Loaf,LIGO Meat Loaf ,Ligo,175g,NO SRP,,,,,,,,
Canned Pork - Meat Loaf,LUCKY 7 Meat Loaf ,Lucky 7,150g,NO SRP,20.5,20.5,0.00%,0,20.5,20.5,0.00%,0
Canned Pork - Meat Loaf,PHILIPS Meat Loaf ,Philips,150g,NO SRP,21.75,21.75,0.00%,0,21.75,21.75,0.00%,0
Canned Pork - Meat Loaf,PHILIPS Meat Loaf ,Philips,200g,NO SRP,28,28,0.00%,0,28,28,0.00%,0
Canned Pork - Meat Loaf,PUREFOODS Meat Loaf ,Purefoods,150g,NO SRP,,,,,,,,
Canned Pork - Meat Loaf,STAR Meat loaf,Star,150g,NO SRP,22.75,22.75,0.00%,0,22.75,22.75,0.00%,0
Canned Pork - Meat Loaf,SWIFT Meat Loaf ,Swift,150g,NO SRP,,,,,,,,
Canned Pork - Meat Loaf,WINNER Meat Loaf ,Winner,150g,18,18,18,0.00%,0,18,18,0.00%,0
Canned Pork - Meat Loaf,WOW Meat Loaf ,Wow,150g,NO SRP,,,,,,,,
Canned Pork - Meat Loaf,YOUNG'S TOWN Meat Loaf,Young's Town,155g,NO SRP,26.25,,,,26.25,,,
Condiments - Patis,DATU PUTI Patis - (POUCH),Datu Puti,100g,NO SRP,,,,,,,,
Condiments - Patis,DATU PUTI Patis (GIN Bottle) - SMKT,Datu Puti,350ml,27,,,,,,,,
